Linux 6.10.8default-kernel (jeonghoon-MS-7D22) 	2025년 07월 29일 	_x86_64_	(12 CPU)

14시 44분 49초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
14시 45분 16초  1000         -    391578   22.00   74.00    0.00    0.00   96.00     3  |__io_uring_udp_se
14시 45분 16초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 17초  1000    391578         -   31.00  164.00    0.00    0.00  195.00     3  io_uring_udp_se
14시 45분 17초  1000         -    391578   31.00   65.00    0.00    0.00   96.00     3  |__io_uring_udp_se
14시 45분 17초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 18초  1000    391578         -   21.00  174.00    0.00    0.00  195.00     3  io_uring_udp_se
14시 45분 18초  1000         -    391578   21.00   74.00    0.00    0.00   95.00     3  |__io_uring_udp_se
14시 45분 18초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 19초  1000    391578         -   19.00  179.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 19초  1000         -    391578   19.00   79.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 19초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 20초  1000    391578         -   20.00  176.00    0.00    0.00  196.00     3  io_uring_udp_se
14시 45분 20초  1000         -    391578   19.00   77.00    0.00    0.00   96.00     3  |__io_uring_udp_se
14시 45분 20초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 21초  1000    391578         -   22.00  177.00    0.00    0.00  199.00     3  io_uring_udp_se
14시 45분 21초  1000         -    391578   23.00   76.00    0.00    0.00   99.00     3  |__io_uring_udp_se
14시 45분 21초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 22초  1000    391578         -   25.00  172.00    0.00    0.00  197.00     3  io_uring_udp_se
14시 45분 22초  1000         -    391578   24.00   72.00    0.00    0.00   96.00     3  |__io_uring_udp_se
14시 45분 22초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 23초  1000    391578         -   24.00  173.00    0.00    0.00  197.00     3  io_uring_udp_se
14시 45분 23초  1000         -    391578   25.00   74.00    0.00    0.00   99.00     3  |__io_uring_udp_se
14시 45분 23초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 24초  1000    391578         -   30.00  169.00    0.00    0.00  199.00     3  io_uring_udp_se
14시 45분 24초  1000         -    391578   29.00   68.00    0.00    0.00   97.00     3  |__io_uring_udp_se
14시 45분 24초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 25초  1000    391578         -   24.00  173.00    0.00    0.00  197.00     3  io_uring_udp_se
14시 45분 25초  1000         -    391578   25.00   73.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 25초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 26초  1000    391578         -   22.00  177.00    0.00    0.00  199.00     3  io_uring_udp_se
14시 45분 26초  1000         -    391578   21.00   77.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 26초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 27초  1000    391578         -   28.00  170.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 27초  1000         -    391578   28.00   71.00    0.00    0.00   99.00     3  |__io_uring_udp_se
14시 45분 27초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 28초  1000    391578         -   16.00  182.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 28초  1000         -    391578   16.00   81.00    0.00    0.00   97.00     3  |__io_uring_udp_se
14시 45분 28초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 29초  1000    391578         -   22.00  176.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 29초  1000         -    391578   22.00   76.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 29초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 30초  1000    391578         -   25.00  173.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 30초  1000         -    391578   25.00   74.00    0.00    0.00   99.00     3  |__io_uring_udp_se
14시 45분 30초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 31초  1000    391578         -   33.00  166.00    0.00    0.00  199.00     3  io_uring_udp_se
14시 45분 31초  1000         -    391578   33.00   66.00    0.00    0.00   99.00     3  |__io_uring_udp_se
14시 45분 31초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 32초  1000    391578         -   39.00  159.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 32초  1000         -    391578   39.00   59.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 32초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 33초  1000    391578         -   12.00  186.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 33초  1000         -    391578   12.00   86.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 33초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 34초  1000    391578         -   21.00  177.00    0.00    0.00  198.00     3  io_uring_udp_se
14시 45분 34초  1000         -    391578   21.00   77.00    0.00    0.00   98.00     3  |__io_uring_udp_se
14시 45분 34초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
