Linux 6.10.8adaptive-sq+ (jeonghoon-MS-7D22) 	2025년 07월 31일 	_x86_64_	(12 CPU)

11시 48분 04초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
11시 48분 34초     0    118222         -    5.00  147.00    0.00    0.00  152.00     3  napi-busy-poll-
11시 48분 34초     0         -    118222    5.00   52.00    0.00    0.00   57.00     3  |__napi-busy-poll-
11시 48분 34초     0         -    118224    0.00   95.00    0.00    0.00   95.00     5  |__iou-sqp-118222
11시 48분 35초     0    118222         -    4.00  147.00    0.00    0.00  151.00     3  napi-busy-poll-
11시 48분 35초     0         -    118222    5.00   53.00    0.00    0.00   58.00     3  |__napi-busy-poll-
11시 48분 35초     0         -    118224    0.00   93.00    0.00    0.00   93.00     5  |__iou-sqp-118222
11시 48분 36초     0    118222         -    5.00  145.00    0.00    0.00  150.00     0  napi-busy-poll-
11시 48분 36초     0         -    118222    6.00   52.00    0.00    0.00   58.00     0  |__napi-busy-poll-
11시 48분 36초     0         -    118224    0.00   93.00    0.00    6.00   93.00     4  |__iou-sqp-118222
11시 48분 37초     0    118222         -    5.00  150.00    0.00    0.00  155.00     0  napi-busy-poll-
11시 48분 37초     0         -    118222    6.00   51.00    0.00    0.00   57.00     0  |__napi-busy-poll-
11시 48분 37초     0         -    118224    0.00   97.00    0.00    0.00   97.00     4  |__iou-sqp-118222
11시 48분 38초     0    118222         -    6.00  150.00    0.00    0.00  156.00     0  napi-busy-poll-
11시 48분 38초     0         -    118222    7.00   51.00    0.00    0.00   58.00     0  |__napi-busy-poll-
11시 48분 38초     0         -    118224    0.00   98.00    0.00    0.00   98.00     4  |__iou-sqp-118222
11시 48분 39초     0    118222         -    5.00  151.00    0.00    0.00  156.00     0  napi-busy-poll-
11시 48분 39초     0         -    118222    6.00   52.00    0.00    0.00   58.00     0  |__napi-busy-poll-
11시 48분 39초     0         -    118224    0.00   98.00    0.00    0.00   98.00     4  |__iou-sqp-118222
11시 48분 40초     0    118222         -    6.00  151.00    0.00    0.00  157.00     5  napi-busy-poll-
11시 48분 40초     0         -    118222    6.00   52.00    0.00    0.00   58.00     5  |__napi-busy-poll-
11시 48분 40초     0         -    118224    0.00   98.00    0.00    0.00   98.00     4  |__iou-sqp-118222
11시 48분 41초     0    118222         -    6.00  150.00    0.00    0.00  156.00     5  napi-busy-poll-
11시 48분 41초     0         -    118222    7.00   51.00    0.00    0.00   58.00     5  |__napi-busy-poll-
11시 48분 41초     0         -    118224    0.00   98.00    0.00    0.00   98.00     4  |__iou-sqp-118222
11시 48분 42초     0    118222         -    7.00  147.00    0.00    0.00  154.00     5  napi-busy-poll-
11시 48분 42초     0         -    118222    8.00   50.00    0.00    0.00   58.00     5  |__napi-busy-poll-
11시 48분 42초     0         -    118224    0.00   95.00    0.00    1.00   95.00     0  |__iou-sqp-118222
11시 48분 43초     0    118222         -    7.00  149.00    0.00    1.00  156.00     1  napi-busy-poll-
