Linux 6.10.8adaptive-sq+ (jeonghoon-MS-7D22) 	2025년 07월 31일 	_x86_64_	(12 CPU)

11시 56분 10초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
11시 56분 38초     0         -    122222    5.00   54.00    0.00    0.00   59.00     3  |__napi-busy-poll-
11시 56분 38초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 39초     0    122222         -    5.00  155.00    0.00    1.00  160.00     3  napi-busy-poll-
11시 56분 39초     0         -    122222    5.00   54.00    0.00    1.00   59.00     3  |__napi-busy-poll-
11시 56분 39초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 40초     0    122222         -    4.00  155.00    0.00    0.00  159.00     3  napi-busy-poll-
11시 56분 40초     0         -    122222    6.00   54.00    0.00    0.00   60.00     3  |__napi-busy-poll-
11시 56분 40초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 41초     0    122222         -    5.00  155.00    0.00    0.00  160.00     3  napi-busy-poll-
11시 56분 41초     0         -    122222    6.00   54.00    0.00    0.00   60.00     3  |__napi-busy-poll-
11시 56분 41초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 42초     0    122222         -    4.00  156.00    0.00    0.00  160.00     3  napi-busy-poll-
11시 56분 42초     0         -    122222    4.00   56.00    0.00    0.00   60.00     3  |__napi-busy-poll-
11시 56분 42초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 43초     0    122222         -    7.00  151.00    0.00    0.00  158.00     5  napi-busy-poll-
11시 56분 43초     0         -    122222    8.00   51.00    0.00    0.00   59.00     5  |__napi-busy-poll-
11시 56분 43초     0         -    122224    0.00   98.00    0.00    2.00   98.00     2  |__iou-sqp-122222
11시 56분 44초     0    122222         -    6.00  148.00    0.00    0.00  154.00     2  napi-busy-poll-
11시 56분 44초     0         -    122222    8.00   51.00    0.00    0.00   59.00     2  |__napi-busy-poll-
11시 56분 44초     0         -    122224    0.00   97.00    0.00    4.00   97.00     0  |__iou-sqp-122222
11시 56분 45초     0    122222         -    5.00  154.00    0.00    0.00  159.00     2  napi-busy-poll-
11시 56분 45초     0         -    122222    5.00   53.00    0.00    0.00   58.00     2  |__napi-busy-poll-
11시 56분 45초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 46초     0    122222         -    6.00  152.00    0.00    0.00  158.00     3  napi-busy-poll-
11시 56분 46초     0         -    122222    7.00   51.00    0.00    0.00   58.00     3  |__napi-busy-poll-
11시 56분 46초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 47초     0    122222         -    6.00  152.00    0.00    0.00  158.00     1  napi-busy-poll-
11시 56분 47초     0         -    122222    8.00   51.00    0.00    0.00   59.00     1  |__napi-busy-poll-
11시 56분 47초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 48초     0    122222         -    6.00  153.00    0.00    1.00  159.00     1  napi-busy-poll-
11시 56분 48초     0         -    122222    6.00   52.00    0.00    1.00   58.00     1  |__napi-busy-poll-
11시 56분 48초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 49초     0    122222         -    7.00  151.00    0.00    0.00  158.00     1  napi-busy-poll-
11시 56분 49초     0         -    122222    9.00   50.00    0.00    0.00   59.00     1  |__napi-busy-poll-
11시 56분 49초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 50초     0    122222         -    5.00  154.00    0.00    0.00  159.00     1  napi-busy-poll-
11시 56분 50초     0         -    122222    5.00   52.00    0.00    0.00   57.00     1  |__napi-busy-poll-
11시 56분 50초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 51초     0    122222         -    5.00  153.00    0.00    0.00  158.00     1  napi-busy-poll-
11시 56분 51초     0         -    122222    6.00   53.00    0.00    0.00   59.00     1  |__napi-busy-poll-
11시 56분 51초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 52초     0    122222         -    5.00  154.00    0.00    0.00  159.00     2  napi-busy-poll-
11시 56분 52초     0         -    122222    5.00   53.00    0.00    0.00   58.00     2  |__napi-busy-poll-
11시 56분 52초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 53초     0    122222         -    4.00  153.00    0.00    0.00  157.00     4  napi-busy-poll-
11시 56분 53초     0         -    122222    6.00   52.00    0.00    0.00   58.00     4  |__napi-busy-poll-
11시 56분 53초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 54초     0    122222         -    6.00  153.00    0.00    0.00  159.00     4  napi-busy-poll-
11시 56분 54초     0         -    122222    6.00   52.00    0.00    0.00   58.00     4  |__napi-busy-poll-
11시 56분 54초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 55초     0    122222         -    6.00  151.00    0.00    0.00  157.00     0  napi-busy-poll-
11시 56분 55초     0         -    122222    7.00   52.00    0.00    0.00   59.00     0  |__napi-busy-poll-
11시 56분 55초     0         -    122224    0.00   98.00    0.00    1.00   98.00     3  |__iou-sqp-122222
11시 56분 56초     0    122222         -    4.00  154.00    0.00    0.00  158.00     2  napi-busy-poll-
11시 56분 56초     0         -    122222    5.00   53.00    0.00    0.00   58.00     2  |__napi-busy-poll-
11시 56분 56초     0         -    122224    0.00  100.00    0.00    0.00  100.00     3  |__iou-sqp-122222
11시 56분 57초     0    122222         -    6.00  150.00    0.00    0.00  156.00     3  napi-busy-poll-
11시 56분 57초     0         -    122222    8.00   50.00    0.00    0.00   58.00     3  |__napi-busy-poll-
11시 56분 57초     0         -    122224    0.00   98.00    0.00    2.00   98.00     4  |__iou-sqp-122222
11시 56분 58초     0    122222         -    6.00  152.00    0.00    0.00  158.00     3  napi-busy-poll-
11시 56분 58초     0         -    122222    7.00   52.00    0.00    0.00   59.00     3  |__napi-busy-poll-
11시 56분 58초     0         -    122224    0.00  100.00    0.00    0.00  100.00     4  |__iou-sqp-122222
11시 56분 59초     0    122222         -    7.00  150.00    0.00    0.00  157.00     4  napi-busy-poll-
11시 56분 59초     0         -    122222    8.00   50.00    0.00    0.00   58.00     4  |__napi-busy-poll-
11시 56분 59초     0         -    122224    0.00   99.00    0.00    2.00   99.00     0  |__iou-sqp-122222
11시 57분 00초     0    122222         -    6.00  152.00    0.00    0.00  158.00     4  napi-busy-poll-
11시 57분 00초     0         -    122222    6.00   51.00    0.00    0.00   57.00     4  |__napi-busy-poll-
11시 57분 00초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 57분 01초     0    122222         -    5.00  153.00    0.00    0.00  158.00     1  napi-busy-poll-
11시 57분 01초     0         -    122222    6.00   53.00    0.00    0.00   59.00     1  |__napi-busy-poll-
11시 57분 01초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 57분 02초     0    122222         -    4.00  154.00    0.00    0.00  158.00     1  napi-busy-poll-
11시 57분 02초     0         -    122222    6.00   52.00    0.00    0.00   58.00     1  |__napi-busy-poll-
11시 57분 02초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
