Linux 6.10.8nazgul+ (bb1) 	07/01/2025 	_x86_64_	(32 CPU)

03:13:33 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:15:08 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:09 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:10 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:15:11 AM     0      2735    5.00   99.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:12 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:13 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:14 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:15 AM     0      2735    5.00  100.00    0.00    0.00  105.00     2  io_uring_echo_s
03:15:16 AM     0      2735    4.00   99.00    0.00    0.00  103.00     2  io_uring_echo_s
03:15:17 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:18 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:19 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:15:20 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:21 AM     0      2735    4.00  100.00    0.00    1.00  104.00     2  io_uring_echo_s
03:15:22 AM     0      2735    4.00   99.00    0.00    0.00  103.00     2  io_uring_echo_s
03:15:23 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:15:24 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:25 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:26 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:15:27 AM     0      2735    4.00   99.00    0.00    0.00  103.00     2  io_uring_echo_s
03:15:28 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:15:29 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:30 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:31 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:32 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:33 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:34 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:35 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:36 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:37 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:15:38 AM     0      2735    4.00   99.00    0.00    0.00  103.00     2  io_uring_echo_s
03:15:39 AM     0      2735    5.00   99.00    0.00    1.00  104.00     2  io_uring_echo_s
03:15:40 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:41 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:42 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:43 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:44 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:15:45 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:46 AM     0      2735    3.00  100.00    0.00    0.00  103.00     2  io_uring_echo_s
03:15:47 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:15:48 AM     0      2735    5.00   99.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:49 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:50 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:51 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:52 AM     0      2735    5.00  100.00    0.00    0.00  105.00     2  io_uring_echo_s
03:15:53 AM     0      2735    3.00  100.00    0.00    0.00  103.00     2  io_uring_echo_s
03:15:54 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:15:55 AM     0      2735    4.00   99.00    0.00    0.00  103.00     2  io_uring_echo_s
03:15:56 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:15:57 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:58 AM     0      2735    4.00   99.00    0.00    1.00  103.00     2  io_uring_echo_s
03:15:59 AM     0      2735    5.00  100.00    0.00    0.00  105.00     2  io_uring_echo_s
03:16:00 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:01 AM     0      2735    5.00  100.00    0.00    0.00  105.00     2  io_uring_echo_s
03:16:02 AM     0      2735    4.00   99.00    0.00    0.00  103.00     2  io_uring_echo_s
03:16:03 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:16:04 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:05 AM     0      2735    4.00   99.00    0.00    0.00  103.00     2  io_uring_echo_s
03:16:06 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:07 AM     0      2735    5.00  100.00    0.00    0.00  105.00     2  io_uring_echo_s
03:16:08 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:09 AM     0      2735    5.00   99.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:10 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:11 AM     0      2735    4.00   99.00    0.00    0.00  103.00     2  io_uring_echo_s
03:16:12 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:16:13 AM     0      2735    5.00   99.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:14 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:15 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:16 AM     0      2735    5.00   99.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:17 AM     0      2735    5.00   99.00    0.00    1.00  104.00     2  io_uring_echo_s
03:16:18 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:19 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:20 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:21 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:16:22 AM     0      2735    4.00   99.00    0.00    0.00  103.00     2  io_uring_echo_s
03:16:23 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:16:24 AM     0      2735    4.00   99.00    0.00    0.00  103.00     2  io_uring_echo_s
03:16:25 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:26 AM     0      2735    5.00   99.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:27 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:28 AM     0      2735    3.00  102.00    0.00    0.00  105.00     2  io_uring_echo_s
03:16:29 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:30 AM     0      2735    3.00  100.00    0.00    0.00  103.00     2  io_uring_echo_s
03:16:31 AM     0      2735    5.00   99.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:32 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:33 AM     0      2735    5.00  100.00    0.00    0.00  105.00     2  io_uring_echo_s
03:16:34 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:35 AM     0      2735    4.00   99.00    0.00    0.00  103.00     2  io_uring_echo_s
03:16:36 AM     0      2735    5.00  100.00    0.00    1.00  105.00     2  io_uring_echo_s
03:16:37 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:38 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:39 AM     0      2735    5.00   99.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:40 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:41 AM     0      2735    5.00   99.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:42 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:43 AM     0      2735    5.00   99.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:44 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:45 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:46 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:16:47 AM     0      2735    4.00   99.00    0.00    0.00  103.00     2  io_uring_echo_s
03:16:48 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:49 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:16:50 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:51 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:52 AM     0      2735    2.00  102.00    0.00    0.00  104.00     2  io_uring_echo_s
03:16:53 AM     0      2735    0.00  104.00    0.00    0.00  104.00     0  io_uring_echo_s
03:16:54 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:16:55 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:16:56 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:16:57 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:16:58 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:16:59 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:00 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:01 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:02 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:03 AM     0      2735    0.00   99.01    0.00    0.00   99.01     0  io_uring_echo_s
03:17:04 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:05 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:06 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:07 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:08 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:09 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:10 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:11 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:12 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:13 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:14 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:15 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:16 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:17 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:18 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:19 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:20 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:21 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:22 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:23 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:24 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
03:17:25 AM     0      2735    0.00  100.00    0.00    0.00  100.00     0  io_uring_echo_s
